variable,label,include,comments,,,,,,,,,,,,,,,,,,,,,,,
ce030_4_6_bracket_max,Max of Regular in-Kind Support to Non-Coresident Child 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce030_4_6_bracket_min,Min of Regular in-Kind Support to Non-Coresident Child 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s1,Non-coresident Sibling 1 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s2,Non-coresident Sibling 2 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s3,Non-coresident Sibling 3 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s4,Non-coresident Sibling 4 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s5,Non-coresident Sibling 5 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s6,Non-coresident Sibling 6 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s7,Non-coresident Sibling 7 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s8,Non-coresident Sibling 8 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s9,Non-coresident Sibling 9 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s10,Non-coresident Sibling 10 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s11,Non-coresident Sibling 11 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s12,Non-coresident Sibling 12 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s13,Non-coresident Sibling 13 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s14,Non-coresident Sibling 14 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s15,Non-coresident Sibling 15 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s16,Non-coresident Sibling 16 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s17,Non-coresident Sibling 17 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s18,Non-coresident Sibling 18 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s19,Non-coresident Sibling 19 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s20,Non-coresident Sibling 20 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s21,Non-coresident Sibling 21 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s22,Non-coresident Sibling 22 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s23,Non-coresident Sibling 23 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s24,Non-coresident Sibling 24 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s25,Non-coresident Sibling 25 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s26,Non-coresident Sibling 26 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s27,Non-coresident Sibling 27 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s28,Non-coresident Sibling 28 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s29,Non-coresident Sibling 29 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s30,Non-coresident Sibling 30 Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w3s99,Non-coresident sibling  Has Economic Support with You and Your Spouse,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_1_,Total Money Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_2_,Total Money Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_3_,Total Money Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_4_,Total Money Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_5_,Total Money Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_6_,Total Money Support From Non-Coresident Sibling 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_7_,Total Money Support From Non-Coresident Sibling 7 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_8_,Total Money Support From Non-Coresident Sibling 8 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_9_,Total Money Support From Non-Coresident Sibling 9 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_10_,Total Money Support From Non-Coresident Sibling 10 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_16_,Total Money Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_17_,Total Money Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_18_,Total Money Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_19_,Total Money Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_20_,Total Money Support From Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_21_,Total Money Support From Non-Coresident Sibling 21 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_1_22_,Total Money Support From Non-Coresident Sibling 22 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_1_,Regular Money Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_2_,Regular Money Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_3_,Regular Money Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_4_,Regular Money Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_5_,Regular Money Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_6_,Regular Money Support From Non-Coresident Sibling 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_7_,Regular Money Support From Non-Coresident Sibling 7 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_8_,Regular Money Support From Non-Coresident Sibling 8 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_9_,Regular Money Support From Non-Coresident Sibling 9 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_10_,Regular Money Support From Non-Coresident Sibling 10 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_16_,Regular Money Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_17_,Regular Money Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_18_,Regular Money Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_19_,Regular Money Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_20_,Regular Money Support From Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_21_,Regular Money Support From Non-Coresident Sibling 21 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_2_22_,Regular Money Support From Non-Coresident Sibling 22 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_1_,Total in-Kind Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_2_,Total in-Kind Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_3_,Total in-Kind Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_4_,Total in-Kind Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_5_,Total in-Kind Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_6_,Total in-Kind Support From Non-Coresident Sibling 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_7_,Total in-Kind Support From Non-Coresident Sibling 7 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_8_,Total in-Kind Support From Non-Coresident Sibling 8 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_9_,Total in-Kind Support From Non-Coresident Sibling 9 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_10_,Total in-Kind Support From Non-Coresident Sibling 10 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_16_,Total in-Kind Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_17_,Total in-Kind Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_18_,Total in-Kind Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_19_,Total in-Kind Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_20_,Total in-Kind Support From Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_21_,Total in-Kind Support From Non-Coresident Sibling 21 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_3_22_,Total in-Kind Support From Non-Coresident Sibling 22 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_1_,Regular in-Kind Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_2_,Regular in-Kind Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_3_,Regular in-Kind Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_4_,Regular in-Kind Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_5_,Regular in-Kind Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_6_,Regular in-Kind Support From Non-Coresident Sibling 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_7_,Regular in-Kind Support From Non-Coresident Sibling 7 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_8_,Regular in-Kind Support From Non-Coresident Sibling 8 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_9_,Regular in-Kind Support From Non-Coresident Sibling 9 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_10_,Regular in-Kind Support From Non-Coresident Sibling 10 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_16_,Regular in-Kind Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_17_,Regular in-Kind Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_18_,Regular in-Kind Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_19_,Regular in-Kind Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_20_,Regular in-Kind Support From Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_21_,Regular in-Kind Support From Non-Coresident Sibling 21 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce072_w2_4_22_,Regular in-Kind Support From Non-Coresident Sibling 22 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_1_bracket_max,Max of Total Money Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_1_bracket_min,Min of Total Money Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_2_bracket_max,Max of Total Money Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_2_bracket_min,Min of Total Money Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_3_bracket_max,Max of Total Money Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_3_bracket_min,Min of Total Money Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_4_bracket_max,Max of Total Money Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_4_bracket_min,Min of Total Money Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_16_bracket_max,Max of Total Money Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_1_17_bracket_min,Min of Total Money Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_1_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_1_bracket_min,Min of Regular Money Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_2_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_2_bracket_min,Min of Regular Money Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_3_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_3_bracket_min,Min of Regular Money Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_4_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_4_bracket_min,Min of Regular Money Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_5_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_16_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_16_bracket_min,Min of Regular Money Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_17_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_17_bracket_min,Min of Regular Money Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_18_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_2_19_bracket_max,Max of Regular Money Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_1_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_1_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_2_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_2_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_3_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_3_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_4_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_4_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_5_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_5_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_16_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_16_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_17_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_18_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_18_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_19_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_19_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_20_bracket_max,Max of Total in-Kind Support From Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_3_20_bracket_min,Min of Total in-Kind Support From Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_1_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_1_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_2_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_2_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_3_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_3_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_4_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_4_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_5_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_5_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_16_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_16_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_17_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_17_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_18_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_18_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_19_bracket_max,Max of Regular in-Kind Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce073_w2_4_19_bracket_min,Min of Regular in-Kind Support From Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_1_,Total Money Support to Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_2_,Total Money Support to Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_3_,Total Money Support to Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_4_,Total Money Support to Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_5_,Total Money Support to Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_6_,Total Money Support to Non-Coresident Sibling 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_7_,Total Money Support to Non-Coresident Sibling 7 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_8_,Total Money Support to Non-Coresident Sibling 8 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_9_,Total Money Support to Non-Coresident Sibling 9 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_10_,Total Money Support to Non-Coresident Sibling 10 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_16_,Total Money Support to Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_17_,Total Money Support to Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_18_,Total Money Support to Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_19_,Total Money Support to Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_20_,Total Money Support to Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_21_,Total Money Support to Non-Coresident Sibling 21 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_1_22_,Total Money Support to Non-Coresident Sibling 22 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_1_,Regular Money Support to Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_2_,Regular Money Support to Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_3_,Regular Money Support to Non-Coresident Sibling 3 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_4_,Regular Money Support to Non-Coresident Sibling 4 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_5_,Regular Money Support to Non-Coresident Sibling 5 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_6_,Regular Money Support to Non-Coresident Sibling 6 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_7_,Regular Money Support to Non-Coresident Sibling 7 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_8_,Regular Money Support to Non-Coresident Sibling 8 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_9_,Regular Money Support to Non-Coresident Sibling 9 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_10_,Regular Money Support to Non-Coresident Sibling 10 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_16_,Regular Money Support to Non-Coresident Sibling 16 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_17_,Regular Money Support to Non-Coresident Sibling 17 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_18_,Regular Money Support to Non-Coresident Sibling 18 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_19_,Regular Money Support to Non-Coresident Sibling 19 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_20_,Regular Money Support to Non-Coresident Sibling 20 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_21_,Regular Money Support to Non-Coresident Sibling 21 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_2_22_,Regular Money Support to Non-Coresident Sibling 22 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_3_1_,Total in-Kind Support to Non-Coresident Sibling 1 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
ce074_w2_3_2_,Total in-Kind Support to Non-Coresident Sibling 2 in The Past Year,no,,,,,,,,,,,,,,,,,,,,,,,,
